duration_ms,explicit,external_urls,name,track_number,uri,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
263533,False,{'spotify': 'https://open.spotify.com/track/0EepXu0NfnnUX8efEZR167'},Forever Winter (Taylor's Version) (From The Vault),27,spotify:track:0EepXu0NfnnUX8efEZR167,Red (Taylor's Version),0.611,0.552,7,-5.828,1,0.031,0.256,0.0,0.134,0.41,116.012,https://api.spotify.com/v1/audio-analysis/0EepXu0NfnnUX8efEZR167
240226,False,{'spotify': 'https://open.spotify.com/track/5036yFLEPBGtJLTKKmHJBG'},Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),28,spotify:track:5036yFLEPBGtJLTKKmHJBG,Red (Taylor's Version),0.61,0.488,3,-6.918,1,0.0293,0.817,0.0,0.312,0.443,125.039,https://api.spotify.com/v1/audio-analysis/5036yFLEPBGtJLTKKmHJBG
200280,False,{'spotify': 'https://open.spotify.com/track/7ovNQzugF7Rf6KYMvcfwSG'},The Very First Night (Taylor's Version) (From The Vault),29,spotify:track:7ovNQzugF7Rf6KYMvcfwSG,Red (Taylor's Version),0.678,0.733,7,-5.025,1,0.0281,0.00115,0.0,0.104,0.581,121.009,https://api.spotify.com/v1/audio-analysis/7ovNQzugF7Rf6KYMvcfwSG
613026,False,{'spotify': 'https://open.spotify.com/track/04m2nJR2Ia6d1ZOt8gi5xA'},All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),30,spotify:track:04m2nJR2Ia6d1ZOt8gi5xA,Red (Taylor's Version),0.631,0.522,0,-8.649,1,0.0302,0.279,0.0,0.0875,0.213,93.0,https://api.spotify.com/v1/audio-analysis/04m2nJR2Ia6d1ZOt8gi5xA
241591,False,{'spotify': 'https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE'},Fearless (Taylor’s Version),1,spotify:track:77sMIMlNaSURUAXq5coCxE,Fearless (Taylor's Version),0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.333,0.43,100.118,https://api.spotify.com/v1/audio-analysis/77sMIMlNaSURUAXq5coCxE
294419,False,{'spotify': 'https://open.spotify.com/track/2nqio0SfWg6gh2eCtfuMa5'},Fifteen (Taylor’s Version),2,spotify:track:2nqio0SfWg6gh2eCtfuMa5,Fearless (Taylor's Version),0.559,0.646,7,-4.61,1,0.0272,0.116,0.0,0.32,0.289,95.466,https://api.spotify.com/v1/audio-analysis/2nqio0SfWg6gh2eCtfuMa5
235766,False,{'spotify': 'https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx'},Love Story (Taylor’s Version),3,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Fearless (Taylor's Version),0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,https://api.spotify.com/v1/audio-analysis/6YvqWjhGD8mB5QXcbcUKtx
254254,False,{'spotify': 'https://open.spotify.com/track/550erGcdD9n6PnwxrvYqZT'},Hey Stephen (Taylor’s Version),4,spotify:track:550erGcdD9n6PnwxrvYqZT,Fearless (Taylor's Version),0.788,0.571,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99,https://api.spotify.com/v1/audio-analysis/550erGcdD9n6PnwxrvYqZT
234515,False,{'spotify': 'https://open.spotify.com/track/5YL553x8sHderRBDlm3NM3'},White Horse (Taylor’s Version),5,spotify:track:5YL553x8sHderRBDlm3NM3,Fearless (Taylor's Version),0.423,0.517,0,-7.377,1,0.0486,0.369,0.0,0.177,0.366,185.262,https://api.spotify.com/v1/audio-analysis/5YL553x8sHderRBDlm3NM3
231124,False,{'spotify': 'https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA'},You Belong With Me (Taylor’s Version),6,spotify:track:1qrpoAMXodY6895hGKoUpA,Fearless (Taylor's Version),0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,https://api.spotify.com/v1/audio-analysis/1qrpoAMXodY6895hGKoUpA
