name,album,duration_min,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),3.16,False,24,0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.201,https://api.spotify.com/v1/audio-analysis/7eResoqEJJAVTkQYSqvO3P
Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),3.48,False,25,0.563,0.473,3,-11.548,1,0.0503,0.514,1.2e-05,0.109,0.405,101.934,https://api.spotify.com/v1/audio-analysis/4uuEGH5SVuzkkSFjo2DEiY
Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),4.04,False,26,0.624,0.624,5,-7.86,1,0.0539,0.334,0.0,0.0995,0.527,80.132,https://api.spotify.com/v1/audio-analysis/4qUijfYU8EoIWiY6oSyrgT
willow,evermore (deluxe version),3.58,False,1,0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,https://api.spotify.com/v1/audio-analysis/58P060mo9WWgEAdDvf0Riz
champagne problems,evermore (deluxe version),4.07,False,2,0.463,0.248,0,-12.036,1,0.0374,0.92,0.0,0.113,0.325,171.346,https://api.spotify.com/v1/audio-analysis/0fVrVe7Vxd3nmbJDiuX4cv
gold rush,evermore (deluxe version),3.09,False,3,0.498,0.471,9,-10.406,1,0.0411,0.811,0.113,0.121,0.351,112.018,https://api.spotify.com/v1/audio-analysis/4mPOHhdmdCePudiBDbAiPl
‘tis the damn season,evermore (deluxe version),3.83,False,4,0.575,0.435,5,-8.193,1,0.0311,0.737,5.38e-05,0.105,0.351,145.91,https://api.spotify.com/v1/audio-analysis/6cpa32VdG5US2mYGNBbF9I
tolerate it,evermore (deluxe version),4.09,False,5,0.373,0.36,9,-10.376,1,0.0387,0.878,1.54e-05,0.079,0.212,147.442,https://api.spotify.com/v1/audio-analysis/5U0MyuuCoOoniHLQFLazLF
"no body, no crime (feat. HAIM)",evermore (deluxe version),3.59,False,6,0.547,0.613,7,-7.577,0,0.0264,0.431,0.0,0.102,0.528,79.011,https://api.spotify.com/v1/audio-analysis/257CUonahBouFWEhouuLYQ
happiness,evermore (deluxe version),5.25,False,7,0.558,0.331,11,-10.649,1,0.0381,0.861,0.0,0.113,0.201,122.035,https://api.spotify.com/v1/audio-analysis/7FDAG4nHExiYsHq6q7cmEn
dorothea,evermore (deluxe version),3.76,False,8,0.607,0.488,4,-8.329,1,0.0264,0.694,0.0,0.129,0.361,119.953,https://api.spotify.com/v1/audio-analysis/25TmHz7flNEc2Knau9iFFL
coney island (feat. The National),evermore (deluxe version),4.59,False,9,0.529,0.536,8,-11.269,1,0.0627,0.826,0.00082,0.141,0.304,107.873,https://api.spotify.com/v1/audio-analysis/1ofQwiozMPRwf5g9MIjaHx
ivy,evermore (deluxe version),4.34,False,10,0.329,0.547,2,-9.514,1,0.0397,0.848,1.11e-05,0.088,0.522,86.629,https://api.spotify.com/v1/audio-analysis/3fs5SqsBJmczNrdMEn2hlr
cowboy like me,evermore (deluxe version),4.58,False,11,0.605,0.513,0,-8.962,1,0.0337,0.774,0.000177,0.123,0.512,127.986,https://api.spotify.com/v1/audio-analysis/279zump7XNXCTElaqukWFr
long story short,evermore (deluxe version),3.6,False,12,0.546,0.732,0,-7.715,1,0.0423,0.674,0.184,0.0972,0.571,157.893,https://api.spotify.com/v1/audio-analysis/3H4F4JXYfyxSxY3vf8gIr4
marjorie,evermore (deluxe version),4.3,False,13,0.535,0.562,5,-11.615,1,0.0479,0.878,0.000132,0.114,0.294,96.103,https://api.spotify.com/v1/audio-analysis/77fHtse81VKtp5CECYhl8D
closure,evermore (deluxe version),3.01,False,14,0.686,0.705,9,-10.823,1,0.249,0.832,4.55e-06,0.134,0.919,151.868,https://api.spotify.com/v1/audio-analysis/3RJxSWIqAuu3rCBttc6f5j
evermore (feat. Bon Iver),evermore (deluxe version),5.07,False,15,0.395,0.27,1,-10.672,1,0.0309,0.937,0.00249,0.111,0.314,120.94,https://api.spotify.com/v1/audio-analysis/307GTVXXkcVBH1WQm1sMCd
right where you left me - bonus track,evermore (deluxe version),4.08,False,16,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,https://api.spotify.com/v1/audio-analysis/1BwXCMe8F4goPwResZJPHb
it’s time to go - bonus track,evermore (deluxe version),4.24,False,17,0.592,0.41,0,-12.426,1,0.0397,0.801,1.39e-05,0.09,0.416,151.923,https://api.spotify.com/v1/audio-analysis/2E2BEJrIiMTRnmDnasT9vb
the 1,folklore (deluxe version),3.5,False,1,0.765,0.348,0,-6.963,1,0.0579,0.764,1.01e-05,0.108,0.171,140.016,https://api.spotify.com/v1/audio-analysis/5WWzC95Mqp3OYgJCHwjHdY
cardigan,folklore (deluxe version),3.99,False,2,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,https://api.spotify.com/v1/audio-analysis/1PybBpkSEB46GS1TF9n3e3
the last great american dynasty,folklore (deluxe version),3.85,False,3,0.684,0.661,7,-8.507,1,0.0407,0.473,0.00215,0.109,0.713,147.909,https://api.spotify.com/v1/audio-analysis/1oyvfXXSKGurQV68wZq8aK
exile (feat. Bon Iver),folklore (deluxe version),4.76,False,4,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,https://api.spotify.com/v1/audio-analysis/160aOpD0QnQdUHBbWbojTx
my tears ricochet,folklore (deluxe version),4.26,False,5,0.469,0.263,0,-10.63,1,0.0329,0.806,0.0,0.0749,0.112,129.86,https://api.spotify.com/v1/audio-analysis/4Ue1tL32N8J4Y2WhcAWlgk
mirrorball,folklore (deluxe version),3.48,False,6,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,https://api.spotify.com/v1/audio-analysis/3zBBJ6LVn8Y9JnDrnPxvMC
seven,folklore (deluxe version),3.48,False,7,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.922,https://api.spotify.com/v1/audio-analysis/55FiXQZgp3NChLYhYC1rnj
august,folklore (deluxe version),4.37,False,8,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,https://api.spotify.com/v1/audio-analysis/5jkmNosiv4Tt9JRP8JqT59
this is me trying,folklore (deluxe version),3.25,False,9,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74e-05,0.171,0.412,135.886,https://api.spotify.com/v1/audio-analysis/5LRDGLySkHo4G0l32jU2cB
illicit affairs,folklore (deluxe version),3.18,False,10,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,https://api.spotify.com/v1/audio-analysis/2gmCOqKc5sc72rtRnhrbKa
invisible string,folklore (deluxe version),4.21,False,11,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,https://api.spotify.com/v1/audio-analysis/2Uoesc7DCQIE58OECSTYtF
mad woman,folklore (deluxe version),3.95,False,12,0.596,0.709,5,-8.938,0,0.0431,0.649,9.92e-06,0.114,0.533,141.978,https://api.spotify.com/v1/audio-analysis/3EPwQ6nq2dQEeoRqnm1boe
epiphany,folklore (deluxe version),4.83,False,13,0.175,0.267,1,-13.69,1,0.0302,0.731,0.000402,0.0858,0.106,94.203,https://api.spotify.com/v1/audio-analysis/0b7rims1HOMhXJVCly981N
betty,folklore (deluxe version),4.91,False,14,0.59,0.379,0,-8.717,1,0.0255,0.544,0.0,0.0983,0.467,96.029,https://api.spotify.com/v1/audio-analysis/7w0hHA41usBpo8isfAtl1g
peace,folklore (deluxe version),3.9,False,15,0.651,0.269,5,-12.912,1,0.0983,0.918,2.17e-05,0.0918,0.334,150.033,https://api.spotify.com/v1/audio-analysis/3YT3zOo7VgAlvW1yOUMXDg
hoax,folklore (deluxe version),3.67,False,16,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,https://api.spotify.com/v1/audio-analysis/6S5C2Cdmzn9bxlmLQYoXyU
the lakes - bonus track,folklore (deluxe version),3.53,False,17,0.509,0.262,2,-11.531,1,0.0311,0.85,1.68e-06,0.0851,0.287,89.846,https://api.spotify.com/v1/audio-analysis/5dwQhzeE8LXpl9sbZJZmQS
I Forgot That You Existed,Lover,2.84,False,1,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,https://api.spotify.com/v1/audio-analysis/43rA71bccXFGD4C8GOpIlN
Cruel Summer,Lover,2.97,False,2,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr
Lover,Lover,3.69,False,3,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI
The Man,Lover,3.17,False,4,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,https://api.spotify.com/v1/audio-analysis/3RauEVgRgj1IuWdJ9fDs70
The Archer,Lover,3.52,False,5,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,https://api.spotify.com/v1/audio-analysis/3pHkh7d0lzM2AldUtz2x37
