song,closest_song,distance
"evermore (feat. Bon Iver), Dress","The Archer, The Best Day (Taylor’s Version), Never Grow Up, cowboy like me, cardigan, my tears ricochet",4.10262781235865
Cold As You,"We Are Never Ever Getting Back Together (Taylor's Version), Bad Blood, Cruel Summer",4.126319993650921
Lover,It’s Nice To Have A Friend,4.1380286783889515
invisible string,"ivy, the lakes - bonus track",4.2412234195314955
"gold rush, Afterglow",coney island (feat. The National),4.283924598162969
"Fearless (Taylor’s Version), Tell Me Why (Taylor’s Version)","Change (Taylor’s Version), Blank Space, All You Had To Do Was Stay, Fifteen (Taylor’s Version), Style, Invisible",4.3702849253477485
"Wildest Dreams, right where you left me - bonus track, Mr. Perfectly Fine (Taylor’s Version) (From The Vault), Don’t Blame Me",this is me trying,4.4009987955766565
Don’t You (Taylor’s Version) (From The Vault),"Clean, 22 (Taylor's Version), Paper Rings",4.441839651557
"Stay Stay Stay (Taylor's Version), I Think He Knows, Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault), Cornelia Street","Don’t You (Taylor’s Version) (From The Vault), Clean, 22 (Taylor's Version), Paper Rings",4.507320578137918
closure,"tolerate it, the last great american dynasty",4.533816834645795
"Red (Taylor's Version), Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault), Starlight (Taylor's Version), Girl At Home (Taylor's Version)","New Romantics, How You Get The Girl, Dear John, The Lucky One (Taylor's Version), dorothea, Love Story (Taylor’s Version), I Wish You Would",4.547374258450075
"The Moment I Knew (Taylor's Version), Look What You Made Me Do, State Of Grace (Taylor's Version), Forever & Always (Taylor’s Version)","You Belong With Me (Taylor’s Version), Superman, Stay Beautiful, You’re Not Sorry (Taylor’s Version)",4.5495877398646645
Delicate,"marjorie, seven, I Forgot That You Existed",4.555687364232206
Untouchable (Taylor’s Version),Long Live,4.606699866038693
"Tim McGraw, So It Goes..., Mary's Song (Oh My My My), Better Man (Taylor's Version) (From The Vault)",exile (feat. Bon Iver),4.637415264667167
"I Knew You Were Trouble (Taylor's Version), A Perfectly Good Heart","Holy Ground (Taylor's Version), Today Was A Fairytale (Taylor’s Version), Shake It Off",4.659258109957158
We Were Happy (Taylor’s Version) (From The Vault),"mirrorball, King Of My Heart, Treacherous (Taylor's Version), The Man",4.731479436709557
"mad woman, This Love, You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault), Back To December - Acoustic, Come In With The Rain (Taylor’s Version), Back To December",the 1,4.763805786123273
"ME! (feat. Brendon Urie of Panic! At The Disco), Wonderland","All Too Well (Taylor's Version), White Horse (Taylor’s Version)",4.827423498050117
Sad Beautiful Tragic (Taylor's Version),Blank Space - Voice Memo,4.904556377333791
Miss Americana & The Heartbreak Prince,"closure, tolerate it, the last great american dynasty",4.921504640509416
"epiphany, New Year’s Day","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), betty, The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version), Death By A Thousand Cuts",5.0080314859182895
Ronan (Taylor's Version),"evermore (feat. Bon Iver), Dress, The Archer, The Best Day (Taylor’s Version), Never Grow Up, cowboy like me, cardigan, my tears ricochet",5.016595181006727
Last Kiss,"Gorgeous, Out Of The Woods, That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault), august",5.126634305317557
"Untouchable (Taylor’s Version), Long Live",Teardrops on My Guitar - Pop Version,5.32804478169534
"mad woman, This Love, You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault), Back To December - Acoustic, Come In With The Rain (Taylor’s Version), Back To December, the 1",The Story Of Us,5.3323942736565
"Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version), Haunted - Acoustic Version, Come Back...Be Here (Taylor's Version), Bye Bye Baby (Taylor’s Version) (From The Vault), Begin Again (Taylor's Version), no body, no crime (feat. HAIM), willow","invisible string, ivy, the lakes - bonus track",5.338979343959991
peace,"it’s time to go - bonus track, Daylight",5.371732327663106
Teardrops On My Guitar - Radio Single Remix,"Fearless (Taylor’s Version), Tell Me Why (Taylor’s Version), Change (Taylor’s Version), Blank Space, All You Had To Do Was Stay, Fifteen (Taylor’s Version), Style, Invisible",5.402699107853406
"Stay Stay Stay (Taylor's Version), I Think He Knows, Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault), Cornelia Street, Don’t You (Taylor’s Version) (From The Vault), Clean, 22 (Taylor's Version), Paper Rings","We Were Happy (Taylor’s Version) (From The Vault), mirrorball, King Of My Heart, Treacherous (Taylor's Version), The Man",5.707891855431544
"champagne problems, You Are In Love, Superstar (Taylor’s Version), Getaway Car","Babe (Taylor's Version) (From The Vault), Should've Said No",5.737920265075092
"Forever & Always (Piano Version) (Taylor’s Version), illicit affairs, happiness",hoax,5.8924204523099455
